Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;19 Guadalajara;1 de enero de 2020;262.985
Todas las edades;Total;19 Guadalajara;1 de enero de 2019;259.266
Todas las edades;Total;19 Guadalajara;1 de enero de 2018;256.247
Todas las edades;Total;19 Guadalajara;1 de enero de 2017;255.242
Todas las edades;Total;19 Guadalajara;1 de enero de 2016;254.191
Todas las edades;Total;19 Guadalajara;1 de enero de 2015;254.458
Todas las edades;Total;19 Guadalajara;1 de enero de 2014;255.075
Todas las edades;Total;19 Guadalajara;1 de enero de 2013;256.825
Todas las edades;Total;19 Guadalajara;1 de enero de 2012;257.731
Todas las edades;Total;21 Huelva;1 de enero de 2021;527.254
Todas las edades;Total;21 Huelva;1 de enero de 2020;525.333
Todas las edades;Total;21 Huelva;1 de enero de 2019;522.138
Todas las edades;Total;21 Huelva;1 de enero de 2018;520.445
Todas las edades;Total;21 Huelva;1 de enero de 2017;519.144
Todas las edades;Total;21 Huelva;1 de enero de 2016;520.086
Todas las edades;Total;21 Huelva;1 de enero de 2015;520.840
Todas las edades;Total;21 Huelva;1 de enero de 2014;520.453
Todas las edades;Total;21 Huelva;1 de enero de 2013;520.327
Todas las edades;Total;21 Huelva;1 de enero de 2012;519.980
Todas las edades;Total;22 Huesca;1 de enero de 2021;223.995
Todas las edades;Total;22 Huesca;1 de enero de 2020;222.767
Todas las edades;Total;22 Huesca;1 de enero de 2019;220.996
Todas las edades;Total;22 Huesca;1 de enero de 2018;220.653
Todas las edades;Total;22 Huesca;1 de enero de 2017;220.749
Todas las edades;Total;22 Huesca;1 de enero de 2016;221.495
Todas las edades;Total;22 Huesca;1 de enero de 2015;222.677
Todas las edades;Total;22 Huesca;1 de enero de 2014;223.702
Todas las edades;Total;22 Huesca;1 de enero de 2013;224.776
Todas las edades;Total;22 Huesca;1 de enero de 2012;225.821
Todas las edades;Total;23 Jaén;1 de enero de 2021;627.568
Todas las edades;Total;23 Jaén;1 de enero de 2020;630.524
Todas las edades;Total;23 Jaén;1 de enero de 2019;633.375
Todas las edades;Total;23 Jaén;1 de enero de 2018;637.669
Todas las edades;Total;23 Jaén;1 de enero de 2017;642.515
Todas las edades;Total;23 Jaén;1 de enero de 2016;647.007
Todas las edades;Total;23 Jaén;1 de enero de 2015;652.317
Todas las edades;Total;23 Jaén;1 de enero de 2014;656.162
Todas las edades;Total;23 Jaén;1 de enero de 2013;661.647
Todas las edades;Total;23 Jaén;1 de enero de 2012;667.260
Todas las edades;Total;24 León;1 de enero de 2021;452.435
Todas las edades;Total;24 León;1 de enero de 2020;456.697
Todas las edades;Total;24 León;1 de enero de 2019;460.247
Todas las edades;Total;24 León;1 de enero de 2018;464.276
Todas las edades;Total;24 León;1 de enero de 2017;468.637
Todas las edades;Total;24 León;1 de enero de 2016;473.574
Todas las edades;Total;24 León;1 de enero de 2015;479.104
Todas las edades;Total;24 León;1 de enero de 2014;483.681
Todas las edades;Total;24 León;1 de enero de 2013;488.756
Todas las edades;Total;24 León;1 de enero de 2012;492.823
Todas las edades;Total;25 Lleida;1 de enero de 2021;439.258
Todas las edades;Total;25 Lleida;1 de enero de 2020;437.508
Todas las edades;Total;25 Lleida;1 de enero de 2019;432.917
Todas las edades;Total;25 Lleida;1 de enero de 2018;430.650
Todas las edades;Total;25 Lleida;1 de enero de 2017;429.821
Todas las edades;Total;25 Lleida;1 de enero de 2016;429.806
Todas las edades;Total;25 Lleida;1 de enero de 2015;431.044
Todas las edades;Total;25 Lleida;1 de enero de 2014;432.397
Todas las edades;Total;25 Lleida;1 de enero de 2013;435.838
Todas las edades;Total;25 Lleida;1 de enero de 2012;438.213
Todas las edades;Total;27 Lugo;1 de enero de 2021;326.068
Todas las edades;Total;27 Lugo;1 de enero de 2020;327.573
Todas las edades;Total;27 Lugo;1 de enero de 2019;329.070
Todas las edades;Total;27 Lugo;1 de enero de 2018;331.128
Todas las edades;Total;27 Lugo;1 de enero de 2017;333.152
Todas las edades;Total;27 Lugo;1 de enero de 2016;335.752
Todas las edades;Total;27 Lugo;1 de enero de 2015;338.430
Todas las edades;Total;27 Lugo;1 de enero de 2014;341.495
Todas las edades;Total;27 Lugo;1 de enero de 2013;344.603
Todas las edades;Total;27 Lugo;1 de enero de 2012;347.629
Todas las edades;Total;28 Madrid;1 de enero de 2021;6.726.640
Todas las edades;Total;28 Madrid;1 de enero de 2020;6.720.310
Todas las edades;Total;28 Madrid;1 de enero de 2019;6.618.078
Todas las edades;Total;28 Madrid;1 de enero de 2018;6.529.923
Todas las edades;Total;28 Madrid;1 de enero de 2017;6.459.297
Todas las edades;Total;28 Madrid;1 de enero de 2016;6.411.466
Todas las edades;Total;28 Madrid;1 de enero de 2015;6.375.737
Todas las edades;Total;28 Madrid;1 de enero de 2014;6.372.553
Todas las edades;Total;28 Madrid;1 de enero de 2013;6.411.525
Todas las edades;Total;28 Madrid;1 de enero de 2012;6.425.573
Todas las edades;Total;29 Málaga;1 de enero de 2021;1.696.955
Todas las edades;Total;29 Málaga;1 de enero de 2020;1.683.380
Todas las edades;Total;29 Málaga;1 de enero de 2019;1.660.348
Todas las edades;Total;29 Málaga;1 de enero de 2018;1.650.068
Todas las edades;Total;29 Málaga;1 de enero de 2017;1.644.147
Todas las edades;Total;29 Málaga;1 de enero de 2016;1.638.378
Todas las edades;Total;29 Málaga;1 de enero de 2015;1.629.179
Todas las edades;Total;29 Málaga;1 de enero de 2014;1.618.101
Todas las edades;Total;29 Málaga;1 de enero de 2013;1.610.728
Todas las edades;Total;29 Málaga;1 de enero de 2012;1.598.137
Todas las edades;Total;30 Murcia;1 de enero de 2021;1.518.279
Todas las edades;Total;30 Murcia;1 de enero de 2020;1.509.077
Todas las edades;Total;30 Murcia;1 de enero de 2019;1.491.312
Todas las edades;Total;30 Murcia;1 de enero de 2018;1.478.718
Todas las edades;Total;30 Murcia;1 de enero de 2017;1.475.275
Todas las edades;Total;30 Murcia;1 de enero de 2016;1.468.367
Todas las edades;Total;30 Murcia;1 de enero de 2015;1.465.195
Todas las edades;Total;30 Murcia;1 de enero de 2014;1.462.734
Todas las edades;Total;30 Murcia;1 de enero de 2013;1.462.271
Todas las edades;Total;30 Murcia;1 de enero de 2012;1.461.928
Todas las edades;Total;31 Navarra;1 de enero de 2021;662.032
Todas las edades;Total;31 Navarra;1 de enero de 2020;659.907
Todas las edades;Total;31 Navarra;1 de enero de 2019;652.797
Todas las edades;Total;31 Navarra;1 de enero de 2018;646.340
Todas las edades;Total;31 Navarra;1 de enero de 2017;642.075
Todas las edades;Total;31 Navarra;1 de enero de 2016;638.922
Todas las edades;Total;31 Navarra;1 de enero de 2015;637.317
