Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Zaragoza,50,2950
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Álava,1,983
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Ávila,5,537
3,2020,Enfermedad crónica de amígdalas,Hombres,A Coruña,15,201
3,2020,Enfermedad crónica de amígdalas,Hombres,Albacete,2,41
3,2020,Enfermedad crónica de amígdalas,Hombres,Alicante,3,310
3,2020,Enfermedad crónica de amígdalas,Hombres,Almería,4,100
3,2020,Enfermedad crónica de amígdalas,Hombres,Asturias,33,62
3,2020,Enfermedad crónica de amígdalas,Hombres,Badajoz,6,212
3,2020,Enfermedad crónica de amígdalas,Hombres,Barcelona,8,707
3,2020,Enfermedad crónica de amígdalas,Hombres,Bizkaia,48,258
3,2020,Enfermedad crónica de amígdalas,Hombres,Burgos,9,81
3,2020,Enfermedad crónica de amígdalas,Hombres,Cantabria,39,91
3,2020,Enfermedad crónica de amígdalas,Hombres,Castellón,12,99
3,2020,Enfermedad crónica de amígdalas,Hombres,Ceuta,51,2
3,2020,Enfermedad crónica de amígdalas,Hombres,Ciudad Real,13,134
3,2020,Enfermedad crónica de amígdalas,Hombres,Cuenca,16,31
3,2020,Enfermedad crónica de amígdalas,Hombres,Cáceres,10,90
3,2020,Enfermedad crónica de amígdalas,Hombres,Cádiz,11,124
3,2020,Enfermedad crónica de amígdalas,Hombres,Córdoba,14,84
3,2020,Enfermedad crónica de amígdalas,Hombres,Gipuzkoa,20,188
3,2020,Enfermedad crónica de amígdalas,Hombres,Girona,17,137
3,2020,Enfermedad crónica de amígdalas,Hombres,Granada,18,53
3,2020,Enfermedad crónica de amígdalas,Hombres,Guadalajara,19,28
3,2020,Enfermedad crónica de amígdalas,Hombres,Huelva,21,189
3,2020,Enfermedad crónica de amígdalas,Hombres,Huesca,22,31
3,2020,Enfermedad crónica de amígdalas,Hombres,Islas Baleares,7,183
3,2020,Enfermedad crónica de amígdalas,Hombres,Jaén,23,53
3,2020,Enfermedad crónica de amígdalas,Hombres,La Rioja,26,75
3,2020,Enfermedad crónica de amígdalas,Hombres,Las Palmas,35,139
3,2020,Enfermedad crónica de amígdalas,Hombres,León,24,176
3,2020,Enfermedad crónica de amígdalas,Hombres,Lleida,25,36
3,2020,Enfermedad crónica de amígdalas,Hombres,Lugo,27,42
3,2020,Enfermedad crónica de amígdalas,Hombres,Madrid,28,1132
3,2020,Enfermedad crónica de amígdalas,Hombres,Melilla,52,6
3,2020,Enfermedad crónica de amígdalas,Hombres,Murcia,30,381
3,2020,Enfermedad crónica de amígdalas,Hombres,Málaga,29,145
3,2020,Enfermedad crónica de amígdalas,Hombres,Navarra,31,250
3,2020,Enfermedad crónica de amígdalas,Hombres,Ourense,32,72
3,2020,Enfermedad crónica de amígdalas,Hombres,Palencia,34,126
3,2020,Enfermedad crónica de amígdalas,Hombres,Pontevedra,36,375
3,2020,Enfermedad crónica de amígdalas,Hombres,Salamanca,37,27
3,2020,Enfermedad crónica de amígdalas,Hombres,Santa Cruz de Tenerife,38,266
3,2020,Enfermedad crónica de amígdalas,Hombres,Segovia,40,68
3,2020,Enfermedad crónica de amígdalas,Hombres,Sevilla,41,206
3,2020,Enfermedad crónica de amígdalas,Hombres,Soria,42,61
3,2020,Enfermedad crónica de amígdalas,Hombres,Tarragona,43,150
3,2020,Enfermedad crónica de amígdalas,Hombres,Teruel,44,22
3,2020,Enfermedad crónica de amígdalas,Hombres,Toledo,45,81
3,2020,Enfermedad crónica de amígdalas,Hombres,Valencia,46,645
3,2020,Enfermedad crónica de amígdalas,Hombres,Valladolid,47,149
3,2020,Enfermedad crónica de amígdalas,Hombres,Zamora,49,85
3,2020,Enfermedad crónica de amígdalas,Hombres,Zaragoza,50,226
3,2020,Enfermedad crónica de amígdalas,Hombres,Álava,1,108
3,2020,Enfermedad crónica de amígdalas,Hombres,Ávila,5,27
3,2020,Enfermedad crónica de amígdalas,Mujeres,A Coruña,15,205
3,2020,Enfermedad crónica de amígdalas,Mujeres,Albacete,2,64
3,2020,Enfermedad crónica de amígdalas,Mujeres,Alicante,3,275
3,2020,Enfermedad crónica de amígdalas,Mujeres,Almería,4,109
3,2020,Enfermedad crónica de amígdalas,Mujeres,Asturias,33,63
3,2020,Enfermedad crónica de amígdalas,Mujeres,Badajoz,6,213
3,2020,Enfermedad crónica de amígdalas,Mujeres,Barcelona,8,769
3,2020,Enfermedad crónica de amígdalas,Mujeres,Bizkaia,48,234
3,2020,Enfermedad crónica de amígdalas,Mujeres,Burgos,9,138
3,2020,Enfermedad crónica de amígdalas,Mujeres,Cantabria,39,69
3,2020,Enfermedad crónica de amígdalas,Mujeres,Castellón,12,172
3,2020,Enfermedad crónica de amígdalas,Mujeres,Ceuta,51,4
3,2020,Enfermedad crónica de amígdalas,Mujeres,Ciudad Real,13,120
