Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
2,46,0,3114,95062,3.28,1.5228,5.6478
2,46,1,333,96244,0.35,1.5228,5.6478
2,1,0,2534,201085,1.26,3.2631,11.8118
2,1,1,429,200505,0.21,3.2631,11.8118
2,11,0,6247,262148,2.38,4.3717,11.8663
2,11,1,844,264134,0.32,4.3717,11.8663
2,12,0,1838,108781,1.69,3.2631,11.8118
2,12,1,320,105971,0.3,3.2631,11.8118
2,19,0,1671,132200,1.26,3.2631,5.256
2,19,1,239,125531,0.19,3.2631,5.256
2,43,0,7240,358439,2.02,2.9287,6.3324
2,43,1,1489,347143,0.43,2.9287,6.3324
2,6,0,77760,2703747,2.88,5.6978,15.9587
2,6,1,23632,2814529,0.84,5.6978,15.9587
2,17,0,7818,378879,2.06,3.4098,12.3267
2,17,1,2175,372721,0.58,3.4098,12.3267
2,27,0,7322,223077,3.28,3.2177,14.1716
2,27,1,2555,215135,1.19,3.2177,14.1716
2,41,0,11299,407510,2.77,4.3608,12.8321
2,41,1,3636,399394,0.91,4.3608,12.8321
2,2,0,16306,924452,1.76,3.5353,13.3098
2,2,1,4637,928757,0.5,3.5353,13.3098
2,10,0,7813,297669,2.62,3.1679,12.6523
2,10,1,1858,296255,0.63,3.1679,12.6523
2,44,0,18024,1265539,1.42,2.9603,12.7479
2,44,1,4720,1296975,0.36,2.9603,12.7479
2,5,0,6722,343428,1.96,5.2046,8.3991
2,5,1,1176,348413,0.34,5.2046,8.3991
2,13,0,3651,206095,1.77,5.1063,9.8227
2,13,1,362,206406,0.18,5.1063,9.8227
2,0,0,18137,549265,3.3,3.2631,12.4681
2,0,1,4874,591913,0.82,3.2631,12.4681
2,28,0,3400,169176,2.01,3.2631,7.0221
2,28,1,802,178452,0.45,3.2631,7.0221
2,33,0,5013,158517,3.16,3.2631,11.8118
2,33,1,1690,169670,1.0,3.2631,11.8118
2,35,0,12107,463897,2.61,3.2631,11.8118
2,35,1,4011,491025,0.82,3.2631,11.8118
2,29,0,77187,3097459,2.49,4.6842,12.3612
2,29,1,24936,3328114,0.75,4.6842,12.3612
2,30,0,14943,737239,2.03,2.5646,13.1282
2,30,1,2934,724690,0.4,2.5646,13.1282
2,32,0,7195,319090,2.25,3.2631,11.821
2,32,1,2011,320933,0.63,3.2631,11.821
2,48,0,5026,159551,3.15,2.9381,9.2195
2,48,1,1012,161015,0.63,2.9381,9.2195
2,7,0,14563,559733,2.6,10.4966,11.7879
2,7,1,4819,595976,0.81,10.4966,11.7879
2,16,0,7993,346871,2.3,3.2631,10.7956
2,16,1,2719,361550,0.75,3.2631,10.7956
2,24,0,6835,160318,4.26,3.2631,11.021
2,24,1,2125,160633,1.32,3.2631,11.021
0,3,0,526,350979,0.15,5.4553,14.1334
0,3,1,1414,338341,0.42,5.4553,14.1334
0,14,0,604,620463,0.1,15.1766,15.8576
